Alameda,Al.
Avenida,Av.
Beco,Beco
Chácara,Ch.
Colônia,Col.
Conjunto,Cj.
Distrito,Dst.
Esplanada,Esp.
Estrada,Est.
Fazenda,Fz.
Jardim,Jd.
Lagoa,Lg.
Loteamento,Lot.
Morro,Mor.
Núcleo,Ncl.
Praça,Pç.
Quadra,Qd.
Rua,Rua
Setor,St.
Sítio,Si.
Travessa,Tr.
Vale,Vale
Via,Via
Viela,Vl.
Vila,Vila
