"nome_name_do_brasil","minuscula_sem_acento","maiuscula_sem_acento","first_sem_acento","minuscula_com_acento","maiuscula_com_acento","first_com_acento"
"ADALTO","adalto","ADALTO","Adalto","adalto","ADALTO","Adalto"
"ADALZIRA","adalzira","ADALZIRA","Adalzira","adalzira","ADALZIRA","Adalzira"
"ADAM","adam","ADAM","Adam","adam","ADAM","Adam"
"ADAMO","adamo","ADAMO","Adamo","adamo","ADAMO","Adamo"
"ADAN","adan","ADAN","Adan","adan","ADAN","Adan"
"ADÃO","adao","ADAO","Adao","adão","ADÃO","Adão"
"ADARILSON","adarilson","ADARILSON","Adarilson","adarilson","ADARILSON","Adarilson"
"ADASSA","adassa","ADASSA","Adassa","adassa","ADASSA","Adassa"
"ADAUTO","adauto","ADAUTO","Adauto","adauto","ADAUTO","Adauto"
"ADAYANE","adayane","ADAYANE","Adayane","adayane","ADAYANE","Adayane"
"ADBEEL","adbeel","ADBEEL","Adbeel","adbeel","ADBEEL","Adbeel"
"ADDAN","addan","ADDAN","Addan","addan","ADDAN","Addan"
"ADDOLORATA","addolorata","ADDOLORATA","Addolorata","addolorata","ADDOLORATA","Addolorata"
"ADEFEANCIS","adefeancis","ADEFEANCIS","Adefeancis","adefeancis","ADEFEANCIS","Adefeancis"
"ADEGINA","adegina","ADEGINA","Adegina","adegina","ADEGINA","Adegina"
"ADEILSON","adeilson","ADEILSON","Adeilson","adeilson","ADEILSON","Adeilson"
"ADELAIDE","adelaide","ADELAIDE","Adelaide","adelaide","ADELAIDE","Adelaide"
"ADELAINE","adelaine","ADELAINE","Adelaine","adelaine","ADELAINE","Adelaine"
"ADELAINY","adelainy","ADELAINY","Adelainy","adelainy","ADELAINY","Adelainy"
"ADELE","adele","ADELE","Adele","adele","ADELE","Adele"
"ADÉLIA","adelia","ADELIA","Adelia","adélia","ADÉLIA","Adélia"
"ADELIANE","adeliane","ADELIANE","Adeliane","adeliane","ADELIANE","Adeliane"
"ADELINA","adelina","ADELINA","Adelina","adelina","ADELINA","Adelina"
